epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1442.03,1.37359,1.58731,0.02045,0.82732,0.58924,0.7005,0.39995,1.42617,1.44092,0.03192,0.00180169,0.00180169,0.00180169
43,1475.73,1.36076,1.60519,0.02001,0.77311,0.60623,0.67173,0.38931,1.51124,1.49689,0.03349,0.00179225,0.00179225,0.00179225
44,1509.4,1.37512,1.60536,0.01987,0.73059,0.66066,0.70748,0.41059,1.5066,1.32758,0.03308,0.00178263,0.00178263,0.00178263
45,1543.86,1.38367,1.58581,0.0207,0.70999,0.64589,0.68259,0.40751,1.39331,1.47088,0.03082,0.00177281,0.00177281,0.00177281
46,1577.56,1.37184,1.5832,0.01991,0.75226,0.62796,0.70725,0.41616,1.43743,1.43374,0.03246,0.0017628,0.0017628,0.0017628
47,1612.01,1.34929,1.52979,0.01958,0.78127,0.63739,0.72063,0.42209,1.44294,1.31848,0.03227,0.00175261,0.00175261,0.00175261
48,1646.46,1.35562,1.52301,0.01971,0.7782,0.64606,0.73527,0.42122,1.38962,1.34116,0.03058,0.00174223,0.00174223,0.00174223
49,1680.15,1.31355,1.48699,0.01939,0.78173,0.60057,0.7039,0.41768,1.4092,1.42177,0.03063,0.00173168,0.00173168,0.00173168
50,1713.86,1.35909,1.51981,0.01916,0.76481,0.66326,0.70022,0.41334,1.4222,1.36344,0.03111,0.00172095,0.00172095,0.00172095
51,1747.59,1.34153,1.5519,0.01921,0.81094,0.63739,0.72691,0.43046,1.4256,1.30209,0.03148,0.00171004,0.00171004,0.00171004
52,1782.8,1.33628,1.50791,0.01942,0.84538,0.60406,0.72181,0.42909,1.42907,1.30228,0.03245,0.00169895,0.00169895,0.00169895
53,1816.47,1.32623,1.46204,0.01916,0.81115,0.62057,0.71351,0.41615,1.44596,1.32791,0.03324,0.0016877,0.0016877,0.0016877
54,1850.08,1.3213,1.47466,0.01916,0.81025,0.63173,0.71762,0.40001,1.48851,1.36846,0.03367,0.00167628,0.00167628,0.00167628
55,1883.33,1.33092,1.49326,0.01903,0.77968,0.64589,0.72853,0.42886,1.42188,1.29132,0.03156,0.0016647,0.0016647,0.0016647
56,1916.81,1.32107,1.47178,0.01885,0.81853,0.60054,0.70593,0.41916,1.37833,1.40727,0.0304,0.00165295,0.00165295,0.00165295
57,1950.07,1.3117,1.4943,0.01881,0.85195,0.63739,0.74485,0.4339,1.47942,1.20625,0.03277,0.00164105,0.00164105,0.00164105
58,1984.12,1.29535,1.43442,0.01873,0.77406,0.64873,0.72967,0.42319,1.43304,1.26016,0.0312,0.00162899,0.00162899,0.00162899
59,2017.38,1.298,1.44928,0.01889,0.73403,0.6289,0.6998,0.42182,1.40924,1.33703,0.03145,0.00161678,0.00161678,0.00161678
60,2050.7,1.28171,1.41065,0.0184,0.8024,0.64589,0.72204,0.4318,1.37614,1.33207,0.02959,0.00160442,0.00160442,0.00160442
61,2084.58,1.30351,1.44648,0.01874,0.76777,0.64306,0.71644,0.41396,1.40377,1.33269,0.03062,0.00159191,0.00159191,0.00159191
62,2118.94,1.2917,1.40861,0.01828,0.80847,0.61756,0.71054,0.42772,1.37785,1.30435,0.02989,0.00157926,0.00157926,0.00157926
63,2152.55,1.26438,1.40628,0.01805,0.83598,0.60623,0.71202,0.42486,1.40688,1.35863,0.03069,0.00156646,0.00156646,0.00156646
64,2186.31,1.27849,1.41592,0.01805,0.85991,0.60057,0.7106,0.42835,1.37532,1.36685,0.0301,0.00155353,0.00155353,0.00155353
65,2220.13,1.27936,1.42953,0.01808,0.85197,0.58697,0.70351,0.42547,1.38442,1.29572,0.02977,0.00154047,0.00154047,0.00154047
66,2254.02,1.26071,1.39888,0.01835,0.80778,0.67139,0.7539,0.44361,1.4273,1.18557,0.03182,0.00152727,0.00152727,0.00152727
67,2288.5,1.26473,1.3823,0.01807,0.81928,0.62606,0.72357,0.43532,1.36867,1.30065,0.02984,0.00151395,0.00151395,0.00151395
68,2321.88,1.24873,1.36143,0.01758,0.76365,0.65902,0.72548,0.43101,1.39446,1.24935,0.03042,0.0015005,0.0015005,0.0015005
69,2355.4,1.2355,1.34239,0.01783,0.79311,0.63173,0.72098,0.42479,1.36011,1.31037,0.02884,0.00148694,0.00148694,0.00148694
70,2388.75,1.26708,1.35994,0.01822,0.79255,0.68185,0.73817,0.44416,1.3874,1.21671,0.03001,0.00147325,0.00147325,0.00147325
71,2423.36,1.2458,1.39884,0.01789,0.83235,0.60478,0.71326,0.42924,1.35533,1.3258,0.02926,0.00145945,0.00145945,0.00145945
72,2459.26,1.22254,1.34888,0.0174,0.8475,0.64548,0.74938,0.44318,1.38401,1.24791,0.02986,0.00144554,0.00144554,0.00144554
