epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,190.379,1.73949,3.75325,0.01526,0.57353,0.48485,0.51823,0.2446,1.65108,1.77025,0.01986,0.00998227,0.00332742,0.00998227,0.00332742,0.00998227,0.00332742,0.00998227,0.00332742
2,367.906,1.70394,1.97214,0.01458,0.79111,0.54924,0.67945,0.36047,1.77275,1.5324,0.02393,0.019981,0.00666035,0.019981,0.00666035,0.019981,0.00666035,0.019981,0.00666035
3,541.44,1.853,2.20678,0.0165,0.52385,0.41257,0.44454,0.19933,1.88603,2.16605,0.02133,0.0299749,0.00999165,0.0299749,0.00999165,0.0299749,0.00999165,0.0299749,0.00999165
4,713.636,1.93072,2.36406,0.01671,0.65002,0.57702,0.63131,0.31799,1.75493,1.65916,0.02247,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,885.703,1.85564,2.24292,0.01595,0.71256,0.52904,0.61967,0.31826,1.76211,1.92903,0.02164,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,1057.54,1.82762,2.15992,0.01571,0.74215,0.56439,0.67992,0.32797,1.76953,1.56759,0.02145,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,1228.66,1.78615,2.0817,0.01527,0.77138,0.62121,0.71828,0.37767,1.63041,1.44523,0.01919,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,1400.97,1.75148,1.99649,0.01503,0.82376,0.62247,0.74753,0.42185,1.52964,1.34753,0.01886,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,1572.77,1.71166,1.93834,0.01471,0.84955,0.68056,0.77345,0.41678,1.55507,1.39057,0.01782,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1743.75,1.69649,1.89113,0.01422,0.85802,0.66035,0.79357,0.44444,1.53931,1.3111,0.01907,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1915.71,1.67456,1.84392,0.01397,0.81202,0.68722,0.78159,0.44495,1.44281,1.17986,0.01808,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,2088.12,1.6648,1.83848,0.01393,0.80706,0.74999,0.82218,0.48792,1.44985,1.05622,0.01844,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,2260.12,1.62959,1.77304,0.01375,0.78484,0.7298,0.80639,0.4685,1.45033,1.11143,0.01697,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,2432.43,1.61896,1.74485,0.01354,0.83895,0.71034,0.79766,0.4619,1.46199,1.0852,0.0171,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,2604.75,1.60292,1.68894,0.0134,0.85762,0.73775,0.84655,0.52787,1.36552,0.97817,0.01745,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,2777.08,1.59564,1.66184,0.01283,0.84972,0.7282,0.82653,0.49738,1.43498,0.98904,0.01744,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,2948.56,1.57572,1.64819,0.01289,0.86935,0.72096,0.8475,0.52148,1.36439,0.94545,0.01779,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,3120.31,1.55797,1.626,0.01284,0.83083,0.73106,0.83738,0.52035,1.35474,0.93427,0.01757,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,3291.85,1.55596,1.59068,0.01263,0.87567,0.74495,0.85506,0.51981,1.36968,0.98864,0.01743,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,3463.42,1.53437,1.5782,0.01246,0.88699,0.74621,0.85838,0.53547,1.33927,0.91588,0.01642,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,3635.62,1.54059,1.55003,0.0125,0.87985,0.79419,0.88021,0.55765,1.31861,0.83607,0.01605,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,3808.32,1.53137,1.53272,0.01249,0.89741,0.75758,0.87643,0.55061,1.33192,0.86891,0.01592,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,3979.45,1.52076,1.5444,0.01234,0.89477,0.78283,0.87861,0.5715,1.28589,0.81343,0.01605,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,4152.02,1.52342,1.51028,0.0124,0.88578,0.7833,0.86738,0.54965,1.30488,0.83388,0.01668,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,4324.24,1.51835,1.50386,0.01241,0.90574,0.77778,0.88241,0.5736,1.26453,0.80026,0.01571,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,4496.55,1.50232,1.44384,0.01203,0.88496,0.7803,0.88016,0.57412,1.26628,0.81417,0.01579,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,4668.58,1.49115,1.43855,0.01207,0.90027,0.78646,0.88173,0.55788,1.33347,0.77965,0.01642,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,4839.78,1.49011,1.43761,0.01209,0.92042,0.77402,0.88414,0.59156,1.23481,0.78514,0.01526,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,5012.63,1.48443,1.43712,0.01181,0.90953,0.80051,0.89445,0.58065,1.27037,0.75537,0.01611,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,5183.92,1.46758,1.43509,0.01175,0.9079,0.79656,0.88418,0.58742,1.23895,0.79262,0.01537,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,5355.81,1.46701,1.41539,0.01185,0.89706,0.79924,0.88537,0.59159,1.21122,0.75717,0.01458,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
