epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5383.6,1.44476,1.38019,0.01215,0.8573,0.78887,0.87209,0.55496,1.30659,0.80058,0.01621,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,5562.87,1.42554,1.35258,0.0117,0.89381,0.7758,0.86009,0.54754,1.34772,0.86077,0.01682,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,5741.61,1.42067,1.34501,0.01169,0.86484,0.80934,0.87334,0.56461,1.27588,0.83411,0.01461,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,5920.3,1.42082,1.34103,0.01166,0.87729,0.78535,0.86554,0.51906,1.46622,0.83527,0.01632,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,6098.5,1.41612,1.34564,0.01167,0.86597,0.76687,0.86074,0.53402,1.32327,0.86048,0.01562,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,6277.44,1.40215,1.37661,0.01169,0.91192,0.78435,0.87873,0.57676,1.267,0.77339,0.01488,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,6456.64,1.38788,1.30663,0.01159,0.92423,0.78547,0.89129,0.57048,1.32433,0.77275,0.01608,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,6634.99,1.39455,1.29065,0.01141,0.89534,0.80429,0.87652,0.58284,1.23668,0.77612,0.01431,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,6813.64,1.3801,1.30082,0.01122,0.91638,0.81061,0.89531,0.5885,1.24671,0.72621,0.01452,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,6992.92,1.41091,1.3029,0.01147,0.91283,0.81973,0.88792,0.56775,1.27505,0.7738,0.01494,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,7171,1.35521,1.2906,0.01138,0.87548,0.79893,0.88113,0.56448,1.29527,0.80121,0.01511,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,7349.49,1.36974,1.25896,0.01116,0.89986,0.83207,0.90211,0.58933,1.2308,0.73261,0.01457,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,7528.81,1.35857,1.25228,0.01102,0.90321,0.81299,0.89815,0.59082,1.24458,0.70733,0.01485,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,7708.29,1.36598,1.27809,0.01118,0.91278,0.80607,0.89362,0.58851,1.24844,0.74427,0.01402,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,7887.01,1.35206,1.21299,0.01102,0.93386,0.80218,0.89696,0.59438,1.22349,0.71527,0.01417,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,8066.1,1.36158,1.26488,0.01118,0.90457,0.81566,0.89863,0.59802,1.23438,0.71354,0.01463,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,8245.06,1.3436,1.23653,0.01076,0.91751,0.81566,0.89879,0.58856,1.25783,0.67421,0.01525,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,8423.85,1.34872,1.22459,0.01108,0.92178,0.81818,0.89974,0.61024,1.21299,0.68225,0.01461,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,8602.9,1.36257,1.24076,0.01074,0.93465,0.81265,0.89708,0.57249,1.31269,0.7131,0.01542,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,8781.48,1.33467,1.2066,0.01104,0.92006,0.79927,0.89431,0.59168,1.22684,0.73768,0.0144,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,8959.96,1.3172,1.18221,0.01055,0.88999,0.81944,0.89476,0.60312,1.1832,0.72735,0.0134,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,9139.48,1.32894,1.1981,0.01068,0.88001,0.81818,0.88732,0.6097,1.16027,0.74559,0.0131,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,9319.13,1.30779,1.17391,0.01064,0.9068,0.82312,0.89609,0.59521,1.2553,0.71535,0.01465,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,9498.18,1.32224,1.17761,0.01087,0.91951,0.80773,0.90097,0.61876,1.15336,0.67962,0.01361,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,9678.34,1.31197,1.15526,0.01042,0.91717,0.81818,0.89911,0.60682,1.18368,0.67745,0.01367,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,9858.07,1.30954,1.14678,0.01056,0.92376,0.83712,0.89838,0.61081,1.19382,0.67806,0.01397,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,10037.1,1.30783,1.13376,0.01065,0.89282,0.79924,0.88914,0.59755,1.18837,0.71714,0.01304,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,10216.2,1.29345,1.1286,0.01026,0.9338,0.83709,0.90544,0.62124,1.14341,0.65068,0.01342,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
