epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2835.86,1.53428,1.37877,0.01415,0.88254,0.77789,0.87539,0.59649,1.16026,0.7854,0.01407,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,2929.7,1.52907,1.40652,0.01383,0.88592,0.78662,0.88274,0.5934,1.20699,0.7481,0.01379,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,3024.16,1.53024,1.40942,0.01387,0.84089,0.78283,0.87108,0.58626,1.17613,0.79816,0.01485,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,3117.85,1.53799,1.36564,0.0139,0.89143,0.80861,0.88178,0.60854,1.15642,0.74347,0.01357,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,3211.95,1.4876,1.3574,0.01329,0.86538,0.81163,0.88074,0.58582,1.20629,0.75958,0.01406,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,3305.54,1.4971,1.34796,0.01347,0.89851,0.79364,0.89324,0.6009,1.20874,0.71349,0.01386,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,3399.13,1.47576,1.3467,0.01319,0.89118,0.81686,0.88626,0.60893,1.17664,0.71859,0.01441,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,3493.57,1.46066,1.30014,0.01307,0.87087,0.79798,0.87625,0.59918,1.13571,0.7722,0.01333,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,3587,1.45903,1.30323,0.01305,0.88293,0.82449,0.89436,0.60016,1.21057,0.72436,0.01396,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,3680.75,1.45783,1.27011,0.01279,0.90082,0.80429,0.88513,0.59431,1.19362,0.76678,0.01454,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,3774.54,1.45122,1.25829,0.01286,0.90246,0.79798,0.8804,0.60908,1.11457,0.72851,0.0129,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,3868.67,1.45,1.29208,0.01273,0.88595,0.83081,0.89526,0.59999,1.18104,0.70274,0.01402,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,3962.92,1.45384,1.24775,0.01277,0.90488,0.81187,0.89417,0.60534,1.17512,0.70108,0.01396,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,4056.65,1.44873,1.24356,0.01307,0.90484,0.81638,0.89111,0.61166,1.17281,0.69944,0.01363,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,4150.83,1.43041,1.25482,0.01281,0.90174,0.79955,0.89064,0.60742,1.18241,0.71215,0.01443,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,4244.67,1.42499,1.23686,0.01247,0.91143,0.81855,0.89508,0.61816,1.13613,0.68834,0.01382,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,4339.1,1.40576,1.21928,0.01235,0.9302,0.7908,0.8966,0.62239,1.12703,0.68548,0.0137,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,4433.19,1.42321,1.21938,0.01253,0.89221,0.84655,0.89889,0.6219,1.16373,0.66883,0.01429,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
