epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5395.26,1.45753,1.46346,0.01222,0.85638,0.79807,0.86832,0.53977,1.34975,0.84168,0.01595,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,5574.23,1.4376,1.42388,0.01211,0.87362,0.78409,0.88111,0.56107,1.30153,0.78211,0.01495,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,5754.01,1.45755,1.43399,0.01212,0.87955,0.78373,0.87055,0.5406,1.35695,0.84026,0.01658,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,5932.63,1.42834,1.38281,0.01178,0.83598,0.79419,0.86996,0.55034,1.32839,0.83709,0.01487,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,6111.3,1.43976,1.4005,0.01192,0.90886,0.80585,0.8824,0.57105,1.29401,0.79002,0.01499,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,6290.89,1.4227,1.38765,0.01181,0.92309,0.75772,0.88073,0.58421,1.22095,0.79629,0.01439,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,6469.75,1.41174,1.38341,0.01172,0.89325,0.77652,0.87175,0.57395,1.27836,0.81687,0.01571,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,6648.5,1.39713,1.39056,0.01145,0.90064,0.77525,0.88015,0.56072,1.30651,0.81,0.01501,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,6826.74,1.39694,1.3771,0.0114,0.90783,0.80177,0.89301,0.58605,1.26479,0.72784,0.01506,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,7005.95,1.40998,1.33771,0.01178,0.90589,0.77789,0.87673,0.57341,1.23954,0.79142,0.01466,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,7184.78,1.405,1.33221,0.01156,0.86644,0.79456,0.879,0.55959,1.30637,0.81275,0.01421,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
