epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5140.02,1.47412,1.44963,0.01204,0.89331,0.79672,0.88644,0.58555,1.25103,0.73842,0.01547,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,5309.35,1.4697,1.42779,0.01196,0.86519,0.78283,0.87532,0.56959,1.25616,0.81363,0.0152,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,5478.88,1.47367,1.41906,0.0119,0.90936,0.80303,0.89024,0.58164,1.28098,0.76442,0.0162,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,5647.64,1.46578,1.42788,0.01192,0.8749,0.81236,0.88854,0.57207,1.28649,0.76948,0.0161,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,5816.69,1.43153,1.39287,0.01123,0.92169,0.78761,0.89284,0.58711,1.21588,0.75626,0.01422,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,5986.69,1.44396,1.36927,0.01171,0.89206,0.81692,0.8873,0.57477,1.25411,0.75967,0.01474,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,6156.03,1.42907,1.36089,0.01134,0.90515,0.80934,0.89407,0.59469,1.21349,0.71815,0.01432,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,6326.16,1.4432,1.36186,0.01121,0.91487,0.77525,0.89199,0.6021,1.19165,0.71656,0.01433,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,6497.49,1.41354,1.32468,0.01134,0.92533,0.79924,0.89882,0.60146,1.21288,0.72684,0.01412,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,6668.36,1.41223,1.33181,0.01137,0.92605,0.8064,0.8998,0.61257,1.1982,0.69349,0.01423,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,6839.87,1.40645,1.31256,0.01118,0.90626,0.82576,0.90351,0.62289,1.1717,0.6567,0.01458,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,7010.28,1.41679,1.32295,0.01128,0.89317,0.83399,0.90797,0.60824,1.21561,0.67603,0.01459,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,7181.64,1.39027,1.31833,0.01127,0.93452,0.79545,0.90283,0.60889,1.21196,0.68456,0.0142,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,7352.62,1.40192,1.30064,0.01101,0.91181,0.80556,0.89605,0.6221,1.15014,0.69525,0.01394,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,7523.29,1.40009,1.2875,0.01089,0.92178,0.81944,0.90327,0.6157,1.18002,0.67374,0.01454,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,7693.56,1.3929,1.29894,0.0111,0.92159,0.83104,0.9103,0.61667,1.17058,0.64927,0.01389,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,7863.84,1.40157,1.31399,0.01114,0.91684,0.81313,0.90196,0.62364,1.15762,0.66193,0.01385,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,8034.72,1.38487,1.24713,0.01083,0.91751,0.82862,0.90604,0.60459,1.20592,0.66703,0.01406,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,8205.02,1.39133,1.28733,0.01119,0.92401,0.82323,0.9038,0.61987,1.16012,0.69644,0.01396,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,8375.29,1.3815,1.26245,0.01101,0.93788,0.81967,0.91126,0.62757,1.15477,0.69663,0.0143,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,8546.38,1.37811,1.25801,0.01084,0.91667,0.81187,0.90717,0.6244,1.15825,0.6834,0.01343,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,8716.73,1.36265,1.24061,0.01071,0.9105,0.83965,0.90514,0.62591,1.15053,0.67721,0.01337,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,8888.27,1.36702,1.23836,0.01067,0.92028,0.83333,0.90157,0.6284,1.13586,0.64954,0.0138,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,9060.6,1.36461,1.23565,0.01081,0.91534,0.83081,0.9042,0.63162,1.13436,0.66688,0.01358,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,9232.37,1.35459,1.21348,0.01058,0.91139,0.82576,0.90703,0.63656,1.14893,0.62285,0.01406,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,9403.61,1.35837,1.20474,0.01073,0.91981,0.82702,0.90999,0.63295,1.1464,0.63397,0.01409,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,9573.83,1.36553,1.21418,0.01079,0.92725,0.83838,0.91345,0.63922,1.11874,0.62494,0.01362,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,9745.64,1.35185,1.20843,0.01061,0.9427,0.8309,0.9147,0.64395,1.09955,0.62768,0.01283,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,9916.45,1.3295,1.16859,0.01026,0.95021,0.81923,0.91158,0.63695,1.13167,0.6289,0.01365,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,10086.3,1.3278,1.14445,0.01038,0.94017,0.83338,0.91655,0.64398,1.10093,0.60856,0.01292,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,10257,1.33184,1.18616,0.01045,0.91716,0.8527,0.91535,0.63666,1.12881,0.62084,0.01325,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,10427.6,1.3253,1.16457,0.01037,0.92347,0.85316,0.91439,0.62933,1.13604,0.6365,0.01304,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,10599.6,1.32735,1.15494,0.01017,0.9444,0.84343,0.91763,0.64357,1.12485,0.62435,0.01298,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,10769.5,1.31719,1.13269,0.01031,0.90885,0.85605,0.91673,0.64457,1.11024,0.61108,0.01277,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
